"","c","cov","periodicity","sensitvity"
"1",20,9,5,79.2
"2",40,9,5,79.2
"3",60,9,5,79.2
"4",20,34,5,79.2
"5",40,34,5,79.2
"6",60,34,5,79.2
"7",20,60,5,79.2
"8",40,60,5,79.2
"9",60,60,5,79.2
"10",20,9,3.5,79.2
"11",40,9,3.5,79.2
"12",60,9,3.5,79.2
"13",20,34,3.5,79.2
"14",40,34,3.5,79.2
"15",60,34,3.5,79.2
"16",20,60,3.5,79.2
"17",40,60,3.5,79.2
"18",60,60,3.5,79.2
"19",20,9,2,79.2
"20",40,9,2,79.2
"21",60,9,2,79.2
"22",20,34,2,79.2
"23",40,34,2,79.2
"24",60,34,2,79.2
"25",20,60,2,79.2
"26",40,60,2,79.2
"27",60,60,2,79.2
"28",20,9,5,100
"29",40,9,5,100
"30",60,9,5,100
"31",20,34,5,100
"32",40,34,5,100
"33",60,34,5,100
"34",20,60,5,100
"35",40,60,5,100
"36",60,60,5,100
"37",20,9,3.5,100
"38",40,9,3.5,100
"39",60,9,3.5,100
"40",20,34,3.5,100
"41",40,34,3.5,100
"42",60,34,3.5,100
"43",20,60,3.5,100
"44",40,60,3.5,100
"45",60,60,3.5,100
"46",20,9,2,100
"47",40,9,2,100
"48",60,9,2,100
"49",20,34,2,100
"50",40,34,2,100
"51",60,34,2,100
"52",20,60,2,100
"53",40,60,2,100
"54",60,60,2,100
