,p,a,vf,vs,sg,x,nc,theta,Mui,Mun,CDR,CDR_survey,tau,c,Ic,survey_interval,r,k,beta,Mu,Inc
1,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.1,0.4,10.7,0.061,112.4286176
2,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.4,0.4,7.7,0.059,112.1927368
3,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.7,0.4,7.5,0.075,135.9674268
4,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.1,0.6,11.9,0.061,111.9118339
5,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.4,0.6,8.1,0.06,112.4415726
6,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.7,0.6,7.5,0.075,133.4800606
7,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.1,0.8,13,0.06,112.3981753
8,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.4,0.8,8.4,0.06,112.4272381
9,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.7,0.8,7.5,0.075,131.6476339
10,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.1,1,14.1,0.061,112.0129257
11,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.4,1,8.6,0.058,112.5799002
12,0.01,0.11,0.67,5.00E-04,0.45,0.65,0.2,0.015,0.3,0.21,0.7,0.7,0.91,0.22,0.002,5,0.7,1,7.5,0.075,130.2412562
